id,serie_name,amazon_link,author_id,pen_name,book_status,num_books,goodreads_link,image,currentBooks
153385,Five Hundred Kingdoms,NULL,515825,NULL,done,6,https://www.goodreads.com/series/40365-five-hundred-kingdoms,NULL,6
154486,The Smiling Proud Wanderer,NULL,389299,NULL,done,12,https://www.goodreads.com/series/88706-the-smiling-proud-wanderer,NULL,12
155001,Jumanji,NULL,495908,NULL,done,2,https://www.goodreads.com/series/130971-jumanji,NULL,2
155464,Age of Exploration,NULL,401708,NULL,done,3,https://www.goodreads.com/series/43539-age-of-exploration,NULL,3
156451,Septenaigue,NULL,309192,NULL,done,6,https://www.goodreads.com/series/102154-septenaigue,NULL,6
156816,The Fantastic Imagination of George MacDonald,NULL,584643,NULL,done,1,https://www.goodreads.com/series/231120-the-fantastic-imagination-of-george-macdonald,NULL,1
156839,Decluttering Mysteries,NULL,784970,NULL,done,4,https://www.goodreads.com/series/290662-decluttering-mysteries,NULL,4
157667,Pendekar Hina Kelana,NULL,389299,NULL,done,26,https://www.goodreads.com/series/88707-pendekar-hina-kelana,NULL,26
158484,A Dance to the Music of Time,NULL,325281,NULL,done,12,https://www.goodreads.com/series/56712-a-dance-to-the-music-of-time,NULL,12
158788,Les insurgés,NULL,606166,NULL,done,4,https://www.goodreads.com/series/363536-les-insurg-s-saison-1-conqu-te-episodes,NULL,4
159655,Lord Tedric,NULL,889237,NULL,done,4,https://www.goodreads.com/series/56806-lord-tedric,NULL,4
159661,Lucille the Pig,NULL,821113,NULL,done,3,https://www.goodreads.com/series/128855-lucille-the-pig,NULL,3
161190,A Dog’s Life,NULL,605540,NULL,done,2,https://www.goodreads.com/series/90708-a-dog-s-life,NULL,3
161995,The Guardians Trilogy,NULL,326692,NULL,done,3,https://www.goodreads.com/series/144080-the-guardians-trilogy,NULL,3
162157,Wishing Day,NULL,948715,NULL,done,3,https://www.goodreads.com/series/128531-wishing-day,NULL,3
163595,Three Californias Triptych,NULL,486609,NULL,done,3,https://www.goodreads.com/series/58577-three-californias-triptych,NULL,3
163948,The Wolf Gift Chronicles,NULL,685286,NULL,done,2,https://www.goodreads.com/series/103659-the-wolf-gift-chronicles,NULL,2
163985,Knuffle Bunny,NULL,289691,NULL,done,3,https://www.goodreads.com/series/49866-knuffle-bunny,NULL,6
164174,Key Trilogy,NULL,326692,NULL,done,3,https://www.goodreads.com/series/42172-key-trilogy,NULL,3
164647,Aliena,NULL,725072,NULL,done,2,https://www.goodreads.com/series/293594-aliena,NULL,2
166316,Saga of the Pliocene Exile,NULL,959910,NULL,done,4,https://www.goodreads.com/series/40713-saga-of-the-pliocene-exile,NULL,5
166838,The Craftsman,NULL,250674,NULL,done,2,https://www.goodreads.com/series/246201-the-craftsman,NULL,3
167264,The Indian in the Cupboard,NULL,722403,NULL,done,5,https://www.goodreads.com/series/49106-the-indian-in-the-cupboard,NULL,6
167399,Silver Screen Historical Mystery,NULL,452518,NULL,done,2,https://www.goodreads.com/series/319909-silver-screen-historical-mystery,NULL,3
167871,Von Bek,NULL,104522,NULL,done,5,https://www.goodreads.com/series/49114-von-bek,NULL,7
168758,Apocalypse Guard,NULL,123337,NULL,done,1,https://www.goodreads.com/series/175084-apocalypse-guard,NULL,1
168907,Janissaries,NULL,232834,NULL,done,4,https://www.goodreads.com/series/50448-janissaries,NULL,4
169612,La Divina Commedia,NULL,447727,NULL,done,3,https://www.goodreads.com/series/69710-la-divina-commedia,NULL,3
169725,Изменённые,NULL,110530,NULL,done,4,https://www.goodreads.com/series/330608,NULL,4
169799,Those Manning Men,NULL,319596,NULL,done,4,https://www.goodreads.com/series/46066-those-manning-men,NULL,6
169986,The Sleep of Reason,NULL,891594,NULL,done,3,https://www.goodreads.com/series/302148-the-sleep-of-reason,NULL,3
170012,Umbrella,NULL,496164,NULL,done,2,https://www.goodreads.com/series/329919-umbrella,NULL,2
170565,Tres Navarre,NULL,909635,NULL,done,7,https://www.goodreads.com/series/41197-tres-navarre,NULL,7
170697,Tapping the Vein,NULL,577281,NULL,done,5,https://www.goodreads.com/series/77323-tapping-the-vein,NULL,5
171062,Last Seen in Gothic,NULL,452831,NULL,done,2,https://www.goodreads.com/series/333688-last-seen-in-gothic,NULL,2
172445,Sirronde's World,NULL,337427,NULL,done,2,https://www.goodreads.com/series/268189-sirronde-s-world,NULL,2
172543,Quillifer,NULL,529396,NULL,done,3,https://www.goodreads.com/series/267729-quillifer,NULL,3
172728,Beyond the Threshold,NULL,368030,NULL,done,2,https://www.goodreads.com/series/60745-beyond-the-threshold,NULL,2
172887,A Modern Comedy,NULL,284634,NULL,done,4,https://www.goodreads.com/series/83154-a-modern-comedy,NULL,4
173725,Jack,NULL,306339,NULL,done,2,https://www.goodreads.com/series/131022-jack,NULL,2
173842,Science Fiction Hall of Fame: The Novellas,NULL,631230,NULL,done,3,https://www.goodreads.com/series/299982-science-fiction-hall-of-fame-the-novellas,NULL,3
176087,Shirley,NULL,259574,NULL,done,2,https://www.goodreads.com/series/316955-shirley-2-volumes,NULL,2
176094,Waite,NULL,579591,NULL,done,3,https://www.goodreads.com/series/43164-waite,NULL,3
176700,Weird Tales,NULL,346874,NULL,done,4,https://www.goodreads.com/series/56835-weird-tales,NULL,4
176738,Charles Paris,NULL,784970,NULL,done,20,https://www.goodreads.com/series/63017-charles-paris,NULL,23
176925,Darkover,NULL,854664,NULL,done,33,https://www.goodreads.com/series/400661-darkover,NULL,39
177153,Best SF Stories from New Worlds,NULL,104522,NULL,done,8,https://www.goodreads.com/series/161094-best-sf-stories-from-new-worlds,NULL,13
177286,Isabel the Witch,NULL,502471,NULL,done,2,https://www.goodreads.com/series/68221-isabel-the-witch,NULL,2
177459,The Image Men,NULL,179404,NULL,done,2,https://www.goodreads.com/series/60748-the-image-men,NULL,2
177606,Corfu Trilogy,NULL,471441,NULL,done,3,https://www.goodreads.com/series/65831-corfu-trilogy,NULL,5
177644,Love Undercover,NULL,712445,NULL,done,4,https://www.goodreads.com/series/77209-love-undercover,NULL,5
178282,Afloat and Ashore,NULL,627209,NULL,done,2,https://www.goodreads.com/series/55502-afloat-and-ashore,NULL,2
178484,Coughlin,NULL,536189,NULL,done,3,https://www.goodreads.com/series/111792-coughlin,NULL,3
178487,Best of Lem,NULL,601206,NULL,done,3,https://www.goodreads.com/series/218569-best-of-lem,NULL,3
179437,Choose Your Own Star Wars Adventure,NULL,962320,NULL,done,3,https://www.goodreads.com/series/71136-choose-your-own-star-wars-adventure,NULL,5
179515,Cedar Cove,NULL,319596,NULL,done,12,https://www.goodreads.com/series/46064-cedar-cove,NULL,12
179847,Min kamp,NULL,312688,NULL,done,6,https://www.goodreads.com/series/73045-min-kamp,NULL,12
180141,Starfishers,NULL,844623,NULL,done,4,https://www.goodreads.com/series/49455-starfishers,NULL,4
180238,Andrew Stillman,NULL,788596,NULL,done,2,https://www.goodreads.com/series/265951-andrew-stillman,NULL,2
181365,Кафка на пляже,NULL,636816,NULL,done,3,https://www.goodreads.com/series/352017,NULL,3
182580,Georgina Kincaid,NULL,573692,NULL,done,6,https://www.goodreads.com/series/90081-georgina-kincaid,NULL,7
183629,Anastasia Krupnik,NULL,670193,NULL,done,9,https://www.goodreads.com/series/50679-anastasia-krupnik,NULL,9
183752,Kipling Selection,NULL,214235,NULL,done,2,https://www.goodreads.com/series/171752-kipling-selection,NULL,2
183754,Stuff I've Been Reading,NULL,872352,NULL,done,4,https://www.goodreads.com/series/67251-stuff-i-ve-been-reading,NULL,7
183848,Hard Looks,NULL,700953,NULL,done,5,https://www.goodreads.com/series/349405-hard-looks,NULL,5
184936,La romance de Ténébreuse,NULL,854664,NULL,done,4,https://www.goodreads.com/series/251388-la-romance-de-t-n-breuse,NULL,4
184998,Warcross,NULL,346253,NULL,done,2,https://www.goodreads.com/series/175090-warcross,NULL,2
186301,Wing & Claw,NULL,759598,NULL,done,3,https://www.goodreads.com/series/148716-wing-claw,NULL,3
186395,Pirata,NULL,811033,NULL,done,5,https://www.goodreads.com/series/278709-pirata,NULL,10
187154,The Lord of the Rings,NULL,738425,NULL,done,4,https://www.goodreads.com/series/92295-the-history-of-the-lord-of-the-rings,NULL,7
187506,Silver Metal Lover,NULL,657156,NULL,done,2,https://www.goodreads.com/series/52774-silver-metal-lover,NULL,2
187848,Silent Swans,NULL,900911,NULL,done,3,https://www.goodreads.com/series/209678-silent-swans,NULL,3
